ID,Category,Customer Query,Chatbot Response,Escalate?,Keywords
FAQ029,Claims & Issues,How long does a claim take to process?,Claims are typically processed within 7–10 business days after investigation is complete.,No,"claim, how long, processing time"
FAQ030,Claims & Issues,Can I get a refund for a failed delivery?,Refunds for failed deliveries are processed within 5–7 business days to your original payment method.,No,"refund, failed delivery, money back"
FAQ031,Account & Booking,How do I book a shipment online?,Visit our website or use the mobile app. Fill in pickup and delivery details and choose your service type. Pay online and get a tracking ID.,No,"book, booking, how to send, ship"
FAQ032,Account & Booking,How do I create an account?,Click 'Sign Up' on our website. Enter your name, email, mobile number and set a password. Verify via OTP.,No,"create account, sign up, register"
FAQ033,Account & Booking,I forgot my password. How do I reset it?,Click 'Forgot Password' on the login page. Enter your registered email or mobile number and follow the OTP verification steps.,No,"password, forgot, reset, login"
FAQ034,Account & Booking,How do I cancel a shipment?,Shipments can be cancelled before pickup. Go to 'My Shipments' in your account and select 'Cancel'. Refunds apply as per policy.,No,"cancel, cancellation, cancel order"
FAQ035,Account & Booking,Can I ship without an account?,Guest booking is available for single shipments. An account is recommended for tracking and order history.,No,"guest, without account, no account"
FAQ036,Packaging,How should I pack my shipment?,Use a sturdy box with adequate padding. Seal all sides with tape. Clearly label sender and receiver address. Avoid overpacking.,No,"pack, packaging, how to pack, seal"
FAQ037,Packaging,Do you provide packaging material?,Yes. Packaging kits are available at our facilities and can be purchased online.,No,"packaging material, box, bubble wrap"
FAQ038,Packaging,What is the maximum weight per shipment?,Standard shipments accept up to 30 kg per parcel. Heavier shipments require freight service. Contact our team for details.,No,"weight, maximum, heavy, kg"
FAQ039,Packaging,What are the size limits for parcels?,Maximum dimensions: 120cm x 80cm x 80cm. For oversized items please contact our freight team.,No,"size, dimensions, large, oversized"
FAQ040,Tracking & Notifications,Will I get notifications for my shipment?,Yes. SMS and email notifications are sent at key stages: Pickup Confirmed, In Transit, Out for Delivery, and Delivered.,No,"notifications, SMS, email, alerts"
FAQ041,Tracking & Notifications,How do I subscribe to delivery alerts?,Ensure your mobile number and email are updated in your account. Notifications are enabled by default for all shipments.,No,"alerts, subscribe, notifications setup"
FAQ042,Tracking & Notifications,Can I track multiple shipments at once?,Yes. Log into your account and visit 'My Shipments' to view all active shipments and their statuses.,No,"multiple shipments, track all, bulk tracking"
FAQ043,Corporate & B2B,Do you have corporate accounts?,Yes. We offer business accounts with dedicated support, bulk pricing, and API integration. Contact our B2B desk.,Yes,"corporate, business, B2B, enterprise"
FAQ044,Corporate & B2B,Can you integrate with our e-commerce platform?,Yes. We offer API integration for Shopify, WooCommerce, and custom platforms. Contact our tech team.,Yes,"API, integration, ecommerce, platform"
FAQ045,Corporate & B2B,Do you offer COD (Cash on Delivery) services?,Yes. COD is available for eligible pin codes. COD amounts are remitted within 2–3 business days after delivery.,No,"COD, cash on delivery, payment on delivery"
FAQ046,Returns,How do I initiate a return shipment?,Contact the seller or platform for a return request. Once approved, our agent will pick up the item from your address.,No,"return, return shipment, send back"
FAQ047,Returns,How long do returns take?,Return pickups are typically done within 2–3 business days after approval. Transit to seller takes 3–7 days.,No,"returns, how long, return time"
FAQ048,General,What are your customer support hours?,Our support team is available Monday–Saturday 9:00 AM to 6:00 PM. This chatbot is available 24/7.,No,"support hours, customer care, timing"
FAQ049,General,How do I contact customer support?,You can reach us via: Chatbot (24/7), Email: support@logisticsdemo.com, Phone: 1800-XXX-XXXX (Mon–Sat 9AM–6PM).,No,"contact, support, helpline, phone"
FAQ050,General,What is your grievance redressal process?,Complaints are acknowledged within 2 hours and resolved within 48 hours. For escalations contact our nodal officer at nodal@logisticsdemo.com.,Yes,"grievance, complaint, escalate, redressal"
